ema,entry,exit,full,is,oos
100,0.0,-0.01,0.6105758587208954,1.14737454633794,-0.24997906794251745
100,0.0,-0.03,0.4282343773838493,1.0138271349654815,-0.2907860100870424
100,0.0,-0.05,0.3692576832520589,1.0110766945013312,-0.3191419864812358
100,0.01,-0.01,0.6526687747438951,1.1816407894197725,-0.2424652203246358
100,0.01,-0.03,0.40757108483734505,1.0058438501764995,-0.29826487504823007
100,0.01,-0.05,0.3291501172089186,0.9632220982291058,-0.3229751649556828
100,0.02,-0.01,0.5857832350632848,1.0555844128885732,-0.22854871581999825
100,0.02,-0.03,0.4351542445718637,0.9452490090718959,-0.26222594748597516
100,0.02,-0.05,0.3326158937822681,0.9091630684139322,-0.3019894864772552
100,0.03,-0.01,0.6240178084477466,1.086799297738298,-0.22176617070559712
100,0.03,-0.03,0.4421569831069483,0.9687391340620537,-0.26747177512981146
100,0.03,-0.05,0.3316989092136333,0.8868750122978128,-0.2942304601342369
100,0.05,-0.01,0.5430458689025728,0.946029059425401,-0.2070797394165409
100,0.05,-0.03,0.43902354904001917,0.9276992380940854,-0.25350203983958586
100,0.05,-0.05,0.30579976860346747,0.7661565506030839,-0.26065457325536623
150,0.0,-0.01,0.5572316360682303,1.0743745377248746,-0.2493006408687577
150,0.0,-0.03,0.5236375554331214,1.0836378816104757,-0.26876086824862366
150,0.0,-0.05,0.42397989522827184,1.0555461332260765,-0.3072498484899452
150,0.01,-0.01,0.5410403399802786,1.0873777561507771,-0.26173384983174797
150,0.01,-0.03,0.4815219358981402,1.0614153931793275,-0.28130839577500966
150,0.01,-0.05,0.430101232264851,1.0682763559931177,-0.3085540875033772
150,0.02,-0.01,0.6069937969328887,1.213268132848445,-0.2739271970338676
150,0.02,-0.03,0.5684644062089406,1.1602087305551798,-0.2739292346967598
150,0.02,-0.05,0.4392314478509396,1.118587768082059,-0.3206647043214714
150,0.03,-0.01,0.6596641043582165,1.2593420121860652,-0.2654214831545668
150,0.03,-0.03,0.5512452503594518,1.1661331102439099,-0.28386430038697885
150,0.03,-0.05,0.4108082663828787,1.0970218905832119,-0.32723245631426734
150,0.05,-0.01,0.603563718606964,1.1129613547409343,-0.24108232504632177
150,0.05,-0.03,0.6120546919742886,1.0858538541052676,-0.2271487818758119
150,0.05,-0.05,0.43636392464325047,1.006997228453396,-0.2843219191936198
200,0.0,-0.01,0.5645079015234176,1.2261930536223562,-0.297227210830739
200,0.0,-0.03,0.5702605571652075,1.3031156684688758,-0.31820160894952987
200,0.0,-0.05,0.6282590690357108,1.3849113208117867,-0.31726640951937923
200,0.01,-0.01,0.5724966103709841,1.2559605342570976,-0.3029591668416233
200,0.01,-0.03,0.6007605861939445,1.300766796652078,-0.3042490927271446
200,0.01,-0.05,0.6108111401945455,1.2740639330814525,-0.29165969489176646
200,0.02,-0.01,0.609034411220855,1.2140931662430159,-0.2732761042972979
200,0.02,-0.03,0.6214169222544539,1.2775364187042522,-0.28808298785539566
200,0.02,-0.05,0.6171980867438256,1.220170703877593,-0.27158840357665204
